index,algorithm,m,time_mean,time_std
115,QuickSort,585,0.031948199999533244,0.0
116,QuickSort,657,0.025814000000536907,0.0
117,QuickSort,739,0.0231298999988212,0.0
118,QuickSort,830,0.017846599999757018,0.0
119,QuickSort,932,0.019392799998968258,0.0
120,QuickSort,1047,0.015549699999610311,0.0
121,QuickSort,1176,0.02432260000023234,0.0
122,QuickSort,1321,0.016362100001060753,0.0
123,QuickSort,1484,0.02875789999961853,0.0
124,QuickSort,1668,0.020706700001028366,0.0
125,QuickSort,1873,0.016821899998831213,0.0
126,QuickSort,2104,0.02706209999996645,0.0
127,QuickSort,2364,0.024125400001139496,0.0
128,QuickSort,2656,0.022005700000590878,0.0
129,QuickSort,2983,0.031563399999868125,0.0
130,QuickSort,3351,0.01776109999991604,0.0
131,QuickSort,3764,0.02072260000022652,0.0
132,QuickSort,4229,0.02057980000063253,0.0
133,QuickSort,4750,0.023417300000801333,0.0
134,QuickSort,5336,0.01020550000066578,0.0
135,QuickSort,5994,0.019963699998697848,0.0
136,QuickSort,6734,0.016291100000671577,0.0
137,QuickSort,7564,0.02990000000136206,0.0
138,QuickSort,8497,0.014607300001443946,0.0
139,QuickSort,9545,0.03056019999894488,0.0
140,QuickSort,10722,0.008551799999622745,0.0
141,QuickSort,12045,0.0184821999991982,0.0
142,QuickSort,13530,0.013293599999087746,0.0
143,QuickSort,15199,0.02013989999977639,0.0
144,QuickSort,17073,0.01513639999757288,0.0
145,QuickSort,19179,0.021812200000567827,0.0
146,QuickSort,21544,0.013972200000353041,0.0
147,QuickSort,24201,0.0198763999997027,0.0
148,QuickSort,27185,0.011362200000803568,0.0
149,QuickSort,30538,0.031393900000693975,0.0
150,QuickSort,34304,0.01825249999819789,0.0
151,QuickSort,38535,0.01629069999944477,0.0
152,QuickSort,43287,0.01868329999888374,0.0
153,QuickSort,48626,0.030332500000440632,0.0
154,QuickSort,54622,0.011726599999747123,0.0
155,QuickSort,61359,0.01385630000004312,0.0
156,QuickSort,68926,0.011537399999724585,0.0
157,QuickSort,77426,0.029835499999535386,0.0
158,QuickSort,86974,0.013272099999085185,0.0
159,QuickSort,97700,0.019226700000217534,0.0
160,QuickSort,109749,0.013292300000102841,0.0
161,QuickSort,123284,0.02008900000146241,0.0
162,QuickSort,138488,0.014392799999768613,0.0
163,QuickSort,155567,0.015326000000641216,0.0
164,QuickSort,174752,0.014859099999739556,0.0
165,QuickSort,196304,0.0314089999992575,0.0
166,QuickSort,220513,0.011608400000113761,0.0
167,QuickSort,247707,0.03141709999908926,0.0
168,QuickSort,278255,0.01715169999988575,0.0
169,QuickSort,312571,0.023446000001058565,0.0
