QuickSort
n;t(n)
11021.0;0.0199909
11519.0;0.0219244
11741.0;0.0227147
12460.0;0.0233565
12604.0;0.0292628
13035.0;0.0236298
13071.0;0.029827
13104.0;0.0231879
13634.0;0.0245143
13972.0;0.0261691
13982.0;0.0269648
14210.0;0.0267179
15903.0;0.0300597
16126.0;0.0294068
16481.0;0.0307838
16667.0;0.0315234
17291.0;0.0556676
18939.0;0.0629664
19308.0;0.0395502
19446.0;0.0500477
20198.0;0.0592171
21434.0;0.0421478
21766.0;0.044414
22227.0;0.0438858
23478.0;0.0449928
23491.0;0.0461001
23631.0;0.0457015
24312.0;0.0514361
24766.0;0.0497325
26147.0;0.0548466
26243.0;0.0516216
26846.0;0.0791222
28524.0;0.0584668
28819.0;0.0574664
29564.0;0.0569596
30612.0;0.0600518
30775.0;0.1050277
30932.0;0.0644735
31453.0;0.0611674
32227.0;0.0654909
32497.0;0.0652573
32740.0;0.0684771
33350.0;0.1158755
33751.0;0.0958843
33767.0;0.0683978
34576.0;0.0755449
35541.0;0.0723612
36420.0;0.0772171
36577.0;0.0730274
36767.0;0.0769956
37059.0;0.073947
37191.0;0.1146629
38753.0;0.1728027
39196.0;0.103499
39226.0;0.0831139
39403.0;0.1459816
40544.0;0.0809068
40877.0;0.0875905
41176.0;0.0838935
42008.0;0.088276
42107.0;0.0837704
42702.0;0.0874205
42940.0;0.0935582
43249.0;0.0904123
43257.0;0.0980286
43729.0;0.0921578
44270.0;0.1202995
44878.0;0.0898267
45122.0;0.1036556
45613.0;0.0953103
45750.0;0.1024582
46930.0;0.1027489
47254.0;0.1022399
47257.0;0.1014364
47371.0;0.1219696
47683.0;0.0975113
47739.0;0.1071687
48676.0;0.1032314
48773.0;0.1059453
49564.0;0.1099168
50020.0;0.1106721
51109.0;0.1072789
51727.0;0.1427326
52166.0;0.1115875
53554.0;0.1137297
53893.0;0.1206257
54029.0;0.115615
54053.0;0.1210326
55996.0;0.1572348
57054.0;0.1417448
57794.0;0.1582138
58027.0;0.2080408
58234.0;0.1259339
58431.0;0.1527906
59070.0;0.122282
59693.0;0.1249841
59980.0;0.1304093
60117.0;0.1307249
60280.0;0.137913
60887.0;0.1326132
60934.0;0.150819
61731.0;0.1349611
62346.0;0.1401952
62404.0;0.1338639
62540.0;0.135657
63209.0;0.2389674
63294.0;0.1433433
63882.0;0.1571602
64877.0;0.149215
64979.0;0.1488581
65271.0;0.2672484
66050.0;0.2503407
66390.0;0.1468929
66709.0;0.1525596
67273.0;0.1434476
68789.0;0.1491839
68988.0;0.1995997
69446.0;0.1923415
70451.0;0.1595248
70626.0;0.1625436
71390.0;0.174583
71397.0;0.1637083
71519.0;0.1574402
71553.0;0.1606539
74174.0;0.1662023
74496.0;0.1689529
74892.0;0.1629801
75794.0;0.1760355
76584.0;0.2168321
76772.0;0.180342
77197.0;0.1792416
77344.0;0.1722304
77921.0;0.1966715
78420.0;0.1793264
78932.0;0.3388366
79384.0;0.1788984
79439.0;0.1939232
80551.0;0.1768744
81497.0;0.1861574
81660.0;0.3149764
82357.0;0.2934228
83052.0;0.1847423
83959.0;0.21333
85286.0;0.2010645
86092.0;0.2325977
87571.0;0.1975526
88676.0;0.2155505
88713.0;0.2211188
89211.0;0.208891
89724.0;0.2987404
90169.0;0.2062134
90281.0;0.2173063
90381.0;0.215066
90740.0;0.2069293
90857.0;0.3750494
91243.0;0.2158725
91922.0;0.20426
91962.0;0.2260511
91987.0;0.2058561
92025.0;0.2390981
92578.0;0.2293395
92723.0;0.3400553
93022.0;0.223514
93137.0;0.3027595
93602.0;0.3587121
94192.0;0.2329409
94359.0;0.2319322
94661.0;0.219171
95202.0;0.2348895
95476.0;0.3755206
95770.0;0.214762
95785.0;0.2187505
96224.0;0.4186582
97046.0;0.2317631
97395.0;0.2389415
97584.0;0.2557603
98353.0;0.2333924
98781.0;0.2512158
98866.0;0.2203884
