algorithm,n,m,time,type
RadixSort,2310,100000,0.0011451999998826068,Variazione n
QuickSort,2477,100000,0.002837399999407353,Variazione n
QuickSort3Way,2477,100000,0.004637300000467803,Variazione n
CountingSort,2477,100000,0.004233800000292831,Variazione n
RadixSort,2477,100000,0.001158499999291962,Variazione n
QuickSort,2656,100000,0.005707900001652888,Variazione n
QuickSort3Way,2656,100000,0.011753900000258,Variazione n
CountingSort,2656,100000,0.011092099999586935,Variazione n
RadixSort,2656,100000,0.0034666999999899417,Variazione n
QuickSort,2848,100000,0.005457900000692462,Variazione n
QuickSort3Way,2848,100000,0.012651900000491878,Variazione n
CountingSort,2848,100000,0.011237299999265815,Variazione n
RadixSort,2848,100000,0.004532599999947706,Variazione n
QuickSort,3053,100000,0.0057108999990305165,Variazione n
QuickSort3Way,3053,100000,0.0060345999991113786,Variazione n
CountingSort,3053,100000,0.003713799998877221,Variazione n
RadixSort,3053,100000,0.0022088000005169306,Variazione n
QuickSort,3274,100000,0.0038468000002467306,Variazione n
QuickSort3Way,3274,100000,0.005408099999840488,Variazione n
CountingSort,3274,100000,0.004309400001147878,Variazione n
RadixSort,3274,100000,0.0016023999996832572,Variazione n
QuickSort,3511,100000,0.004192200000034063,Variazione n
QuickSort3Way,3511,100000,0.005938500000411295,Variazione n
CountingSort,3511,100000,0.004278000002159388,Variazione n
RadixSort,3511,100000,0.004665800001021125,Variazione n
QuickSort,3764,100000,0.008819700000458397,Variazione n
QuickSort3Way,3764,100000,0.004719999998997082,Variazione n
CountingSort,3764,100000,0.002779600001304061,Variazione n
RadixSort,3764,100000,5.400000009103678e-05,Variazione n
QuickSort,4037,100000,0.004730799999379087,Variazione n
QuickSort3Way,4037,100000,0.00937319999866304,Variazione n
CountingSort,4037,100000,0.004524199997831602,Variazione n
RadixSort,4037,100000,0.0018888999984483235,Variazione n
QuickSort,4328,100000,0.00503740000021935,Variazione n
QuickSort3Way,4328,100000,0.01932969999870693,Variazione n
CountingSort,4328,100000,0.004334399998697336,Variazione n
RadixSort,4328,100000,0.0024403999996138737,Variazione n
